"strain"	"isotype"	"latitude"	"longitude"	"substrate"	"abz_hta_2018_pheno"	"abz_hta_2018"	"abz_hta_2024_pheno"	"abz_hta_2024"	"abz_hta_norm_pheno"	"abz_hta_norm_res"	"abz_hta_2018_res"	"abz_hta_2024_res"	"ben-1_high_impact_SNV"	"tbb-2_high_impact_SNV"	"tbb-1_high_impact_SNV"	"mec-7_high_impact_SNV"	"tbb-4_high_impact_SNV"	"ben-1_SVs"	"ben-1_SV_ids"	"tbb-2_SVs"	"tbb-2_SV_ids"	"tbb-1_SVs"	"tbb-1_SV_ids"	"mec-7_SVs"	"mec-7_SV_ids"	"tbb-4_SVs"	"tbb-4_SV_ids"	"ben-1_var"	"tbb-2_var"	"tbb-1_var"	"mec-7_var"	"tbb-4_var"	"ben-1_exp"	"tbb-1_exp"	"tbb-2_exp"	"tbb-4_exp"	"mec-7_exp"	"low_ben1_exp"	"tbb-1_clean_call"	"tbb-2_clean_call"	"ben-1_clean_call"	"mec-7_clean_call"	"tbb-4_clean_call"
"JU2811"	"JU2811"	-33.8632	151.219453	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-80.1204512191017	TRUE	-83.0533431242757	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.028871	8.511649	10.3041	0.00215449369146461	2.487814	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2825"	"JU2825"	48.8092	2.3862	"Rotting_stem"	-60.028938732685	TRUE	NA	FALSE	-49.5522655528151	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2829"	"JU2829"	46.632	1.064	"Rotting_nut/pod/seed/fruit"	166.161660152198	TRUE	NA	FALSE	176.638333332068	TRUE	TRUE	NA	"missense_F200Y"	NA	NA	NA	NA	"Deletion"	"DEL00767489"	NA	NA	NA	NA	NA	NA	NA	NA	"missense_F200Y | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"JU2838"	"JU2838"	20.205961	-97.98832	"Rotting_nut/pod/seed/fruit"	-72.4782292713292	TRUE	-17.8157731697885	TRUE	-41.3751105832109	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.263904	8.354008	9.382869	0.0339226089715061	3.079355	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2841"	"JU2841"	-40	176	"Mollusk"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.509757	8.425958	10.04005	-0.0221795277102901	3.64477	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2853"	"JU2853"	41.19	-7.545	"Soil"	-31.4450423219898	TRUE	NA	FALSE	-20.9683691421199	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.392195	7.898586	9.903144	-0.411798259397447	3.120846	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2862"	"JU2862"	52.1944	0.1264	"Rotting_stem"	16.5434062520645	TRUE	NA	FALSE	27.0200794319344	TRUE	TRUE	NA	"frameshift_364"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"frameshift_364 | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.391798	8.328969	9.979944	-0.159497072409534	3.372357	TRUE	"No variant"	"No variant"	"Frameshift"	"No variant"	"No variant"
"JU2866"	"JU2866"	34.0751	-118.4409	"Rotting_nut/pod/seed/fruit"	-43.7349218630893	TRUE	-33.1315362547979	TRUE	-34.6613384215957	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.696491	8.095588	10.01724	0.273201236940716	3.804903	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2878"	"JU2878"	19.29732	-99.098769	"Rotting_nut/pod/seed/fruit"	-38.1532470162155	TRUE	NA	FALSE	-27.6765738363456	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2879"	"JU2879"	19.29732	-99.098769	"Rotting_nut/pod/seed/fruit"	-15.7494721998046	TRUE	46.2745225718624	TRUE	19.0344158233768	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.356994	8.102641	9.958807	0.453110870607008	3.637281	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2906"	"JU2906"	43.8023	11.2806	"Rotting_stem"	-24.6248450952684	TRUE	-12.1137935353148	TRUE	-14.5974286779437	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.374884	8.509109	10.01224	-0.339842658478012	2.993583	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU2907"	"JU2907"	43.8021	11.2906	"Compost"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.365728	8.196272	9.852995	-0.109049413353895	2.52232	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU310"	"JU310"	46.63	1.06	"Compost"	NA	FALSE	103.134244571084	TRUE	100.20135266591	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.893391	8.160271	10.06245	0.269717146506475	2.562186	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU311"	"JU311"	44.42	4.4	"Mollusk"	-8.59477346262161	TRUE	NA	FALSE	1.88189971724826	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.475589	7.706272	8.470162	0.617513394165567	3.571526	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3125"	"JU3125"	38.1127	13.3722	"Rotting_nut/pod/seed/fruit"	98.0167852925767	TRUE	NA	FALSE	108.493458472447	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3127"	"JU3127"	38.11196	13.37274	"Rotting_nut/pod/seed/fruit"	-11.626713679866	TRUE	-31.6357103999391	TRUE	-17.8593214025546	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3128"	"JU3128"	37.076	15.2763	"Rotting_nut/pod/seed/fruit"	-20.8217459019968	TRUE	0.65346209782652	TRUE	-6.3122512647372	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.894418	8.153278	10.19867	-0.12555619313829	3.073635	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3132"	"JU3132"	48.7015	2.1725	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-45.7888540697962	TRUE	-48.7217459749702	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.572318	7.962046	9.892281	-0.636925093069847	3.893089	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3134"	"JU3134"	48.7015	2.1725	"Rotting_nut/pod/seed/fruit"	-48.6903234939128	TRUE	-31.0547603736339	TRUE	-36.1006512964254	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.222471	8.248936	9.95826	-0.47396084245713	2.9858	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3135"	"JU3135"	48.7015	2.1725	"Rotting_nut/pod/seed/fruit"	150.003676622444	TRUE	162.934714932989	TRUE	160.241086415065	TRUE	TRUE	TRUE	"stop_gained_Y51*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"stop_gained_Y51* | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"Start/stop altering"	"No variant"	"No variant"
"JU3137"	"JU3137"	48.7015	2.1725	"Rotting_nut/pod/seed/fruit"	-44.270822053345	TRUE	0.0645919078405335	TRUE	-18.3312244354043	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3140"	"JU3140"	48.71	-3.81	"Rotting_stem"	6.20613993662108	TRUE	NA	FALSE	16.682813116491	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.818843	8.258003	10.03004	-0.22834244625415	3.950626	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3141"	"JU3141"	48.71	-3.81	"Rotting_stem"	NA	FALSE	-15.6465406849886	TRUE	-18.5794325901626	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3144"	"JU3144"	6.18	10.52	"Vegetal_litter/mix"	12.7471891833916	TRUE	-19.3463827058813	TRUE	0.472293876103075	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.572972	8.250245	9.859574	0.259683185769062	3.446597	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3166"	"JU3166"	0.28417	6.59837	"Fungus"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3167"	"JU3167"	0.289	6.612	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3169"	"JU3169"	0.289	6.612	"Rotting_stem"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3224"	"JU3224"	-41.296186	174.784857	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-16.5545878795524	TRUE	-19.4874797847264	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3225"	"JU3225"	-41.296186	174.784857	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-5.29073234100219	TRUE	-8.22362424617619	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3226"	"JU3226"	-41.29085	174.76872	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3228"	"JU3228"	-39.02256	175.71458	"Vegetal_litter/mix"	NA	FALSE	3.51177090967394	TRUE	0.578879004499941	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU323"	"JU323"	44.42	4.4	NA	NA	FALSE	-30.1890201811537	TRUE	-33.1219120863277	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.668012	8.08288	9.592748	-0.371060212312552	3.812941	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3280"	"JU3280"	50.07182	14.42333	"Compost"	NA	FALSE	-2.35710586510627	TRUE	-5.28999777028027	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3282"	"JU3282"	50.0711	14.42028	"Rotting_stem"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	"frameshift_368"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"frameshift_368 | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"Frameshift"	"No variant"	"No variant"
"JU3291"	"JU3291"	48.7679	2.70719	"Rotting_stem"	NA	FALSE	-25.1898323557056	TRUE	-28.1227242608796	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3318"	"JU3318"	23.10675	102.74492	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU346"	"JU346"	44.42	4.4	"Arthropod"	108.804818866817	TRUE	207.55953002518	TRUE	161.954065083347	TRUE	TRUE	TRUE	"stop_gained_Y183*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"stop_gained_Y183* | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	2.722251	8.284657	10.07528	-0.230885473314538	3.497247	TRUE	"No variant"	"No variant"	"Start/stop altering"	"No variant"	"No variant"
"JU360"	"JU360"	48.98	2.23	"Compost"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	"frameshift_319"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"frameshift_319 | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	2.885271	8.011139	9.882204	-0.218394090877273	3.731007	TRUE	"No variant"	"No variant"	"Frameshift"	"No variant"	"No variant"
"JU367"	"JU367"	48.98	2.23	"Compost"	-69.9929015162977	TRUE	-4.74584286580868	TRUE	-33.5974815537053	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.201467	7.688272	9.575678	-0.134085280232808	2.958877	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU3795"	"JU3795"	49.1269	1.9595	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU393"	"JU393"	49.28	-0.32	"Compost"	36.4928158039109	TRUE	NA	FALSE	46.9694889837808	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU394"	"JU394"	49.28	-0.32	"Compost"	-4.85571503281486	TRUE	NA	FALSE	5.62095814705501	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.125453	8.206497	10.0862	-0.379603422085113	2.636011	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU397"	"JU397"	49.28	-0.32	"Compost"	-37.8280112863011	TRUE	NA	FALSE	-27.3513381064312	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.785842	8.120561	9.978821	-0.574889947480882	3.829333	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU4047"	"JU4047"	22.33305	103.87154	"Rotting_stem"	NA	FALSE	-48.0242312824622	TRUE	-50.9571231876362	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU406"	"JU406"	49.28	-0.32	"Compost"	-26.957852236842	TRUE	NA	FALSE	-16.4811790569721	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.201763	7.931861	9.920227	-0.772816425457899	3.174529	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU4073"	"JU4073"	22.3346	103.8454	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU4082"	"JU4082"	12.10578	108.5654	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU4098"	"JU4098"	11.98	108.406	"Rotting_stem"	NA	FALSE	-31.8660037848744	TRUE	-34.7988956900484	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU4161"	"JU4161"	49.121	1.951	"Rotting_stem"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU440"	"JU440"	48.715	1.56	"Compost"	-24.6855088899808	TRUE	NA	FALSE	-14.2088357101109	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.173497	8.056373	9.898394	-0.127064805434335	3.091973	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU561"	"JU561"	48.71	-3.81	"Arthropod"	-18.9866357096652	TRUE	NA	FALSE	-8.50996252979533	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU642"	"JU642"	48.84	2.5	"Compost"	-29.6172348579101	TRUE	NA	FALSE	-19.1405616780402	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.483025	7.753377	9.886488	-1	3.578549	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU751"	"JU751"	48.84	2.5	"Compost"	78.2723321807437	TRUE	NA	FALSE	88.7490053606136	TRUE	TRUE	NA	"missense_F200Y"	NA	NA	NA	NA	"Deletion"	"DEL00767489"	NA	NA	NA	NA	NA	NA	NA	NA	"missense_F200Y | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"JU774"	"JU774"	38.683	-9.34	"Compost"	1.43891497685398	TRUE	NA	FALSE	11.9155881567239	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.46568	8.136521	9.515783	-0.0987177308893465	3.873623	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU775"	"JU775"	38.7175	-9.1486	"Rotting_nut/pod/seed/fruit"	-1.00602733154806	TRUE	-32.0971355193579	TRUE	-12.779690788105	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.013536	8.297237	9.951168	-0.143384697498924	2.380552	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU778"	"JU778"	38.719	-9.1491	"Rotting_nut/pod/seed/fruit"	5.79138921164946	TRUE	-32.3746230353969	TRUE	-9.51972627452579	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.940328	8.387404	10.12319	-0.372614455248186	2.221977	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU782"	"JU782"	38.7191	-9.1503	"Compost"	-60.6798918518081	TRUE	NA	FALSE	-50.2032186719382	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.243899	8.519341	10.10328	-0.455629348525396	3.311751	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU792"	"JU792"	43.06	0.24	"Compost"	7.66368088874968	TRUE	45.1292756254888	TRUE	30.1683688944672	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.36541	7.803795	9.858566	-0.13677298689114	3.674337	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"JU830"	"JU830"	48.52	9.05	"Compost"	125.567351675781	TRUE	NA	FALSE	136.044024855651	TRUE	TRUE	NA	"missense_F200Y"	NA	NA	NA	NA	"Deletion"	"DEL00767489"	NA	NA	NA	NA	NA	NA	NA	NA	"missense_F200Y | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.37061	8.236294	9.911396	0.0199920500189792	2.454075	TRUE	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"JU847"	"JU847"	48.46	7.461	"Compost"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.166986	8.341389	10.18132	-0.59304575698998	3.313676	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"KR314"	"KR314"	49.28	-123.13	"Rotting_nut/pod/seed/fruit"	143.6234241084	TRUE	182.428815679548	TRUE	166.798010531322	TRUE	TRUE	TRUE	"missense_E69G + frameshift_70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"missense_E69G + frameshift_70 | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.254148	8.089856	9.969421	-0.466568917476918	2.473762	TRUE	"No variant"	"No variant"	"Frameshift"	"No variant"	"No variant"
